Caenorhabditis elegans
Caenorhabditis briggsae
Caenorhabditis remanei
Caenorhabditis brenneri
Caenorhabditis japonica
Pristionchus pacificus
Ixodes scapularis
Aedes aegypti
Anopheles gambiae
Drosophila melanogaster
Pediculus humanus
Ciona intestinalis
Ciona savignyi
Danio rerio
Oryzias latipes
Gasterosteus aculeatus
Takifugu rubripes
Tetraodon nigroviridis
Xenopus tropicalis
Gallus gallus
Taeniopygia guttata
Anolis carolinensis
Ornithorhynchus anatinus
Dasypus novemcinctus
Homo sapiens
Pan troglodytes
Dipodomys ordii
Mus musculus
Rattus norvegicus
Canis familiaris
Felis catus
Tursiops truncatus
Pteropus vampyrus
Malassezia globosa
Ustilago maydis
Coprinopsis cinerea
Filobasidiella neoformans
Phaeosphaeria nodorum
Botryotinia fuckeliana
Sclerotinia sclerotiorum
Gibberella zeae
Magnaporthe grisea
Chaetomium globosum
Podospora anserina
Neurospora crassa
Neosartorya fischeri group
Neosartorya fischeri
Penicillium chrysogenum
Aspergillus terreus
Aspergillus oryzae
Aspergillus niger
Aspergillus flavus
Aspergillus clavatus
Coccidioides posadasii
Paracoccidioides brasiliensis
Arthroderma otae
Uncinocarpus reesii
Ajellomyces dermatitidis
Clavispora lusitaniae
Candida albicans
Yarrowia lipolytica
Lachancea thermotolerans
Kluyveromyces lactis
Candida glabrata
Zygosaccharomyces rouxii
Saccharomyces cerevisiae
Lodderomyces elongisporus
Debaryomyces hansenii
Scheffersomyces stipitis
Schizosaccharomyces japonicus
Schizosaccharomyces pombe
Chlamydomonas reinhardtii
Sorghum bicolor
Brachypodium distachyon
Oryza sativa
Vitis vinifera
Arabidopsis thaliana
Populus trichocarpa
Thalassiosira pseudonana
Phaeodactylum tricornutum
Tetrahymena thermophila
Paramecium tetraurelia
Theileria annulata
Babesia bovis
Plasmodium vivax
Plasmodium falciparum
Cryptosporidium parvum
Dictyostelium discoideum
Entamoeba histolytica
Giardia intestinalis
Trichomonas vaginalis
Trypanosoma brucei
Leishmania major
Heterocephalus glaber
